City_ID,City,Max Temp,Lat,Lng,Hotel Name
182,Warri,77.0,5.5167,5.75,BON Hotel Delta
184,Purranque,61.93,-40.9167,-73.1667,HOSPADAJE ERICA
187,San Patricio,60.66,28.017,-97.5169,"Motel 6 Sinton, TX"
191,Ixtapa,71.96,20.7,-105.2,Hotel Plaza Providencia
192,Tuy Hoa,76.33,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
193,Tura,58.5,25.5198,90.2201,Hotel RIKMAN Continental
194,Goma,61.36,-1.6792,29.2228,Hotel la Versailles Goma
195,Pisco,66.25,-13.7,-76.2167,Hotel San Isidro Oficial
199,Baglung,51.1,28.2719,83.5898,Hotel Peace Palace
200,Cabinda,78.33,-5.55,12.2,Hotel Maiombe
202,Erechim,66.24,-27.6342,-52.2739,Hotel Buongiorno
203,Gambo,71.2,4.6482,22.2633,
205,Lompoc,75.34,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
206,Cascais,58.35,38.6979,-9.4215,Hotel Vila Galé Cascais
207,Lata,52.21,40.1629,-8.3327,Casa Maquia
212,Wukari,73.4,7.85,9.7833,Elimtop
214,Benghazi,71.74,32.1167,20.0667,Tibesti Hotel
216,Ponta Do Sol,65.03,32.6667,-17.1,Hotel do Campo
217,Hambantota,75.54,6.1241,81.1185,Bungalow 63
220,Burnie,59.76,-41.0667,145.9167,Beachfront Voyager Motor Inn
223,Cabo San Lucas,78.1,22.8909,-109.9124,Hotel Tesoro Los Cabos
224,Vila Velha,71.55,-20.3297,-40.2925,Quality Suites Vila Velha
225,Alto Araguaia,73.09,-17.3147,-53.2153,Araguaia Palace Hotel
226,Camocim,79.88,-2.9022,-40.8411,Ilha Praia Hotel
227,Buin,77.32,-33.7333,-70.75,Paihuen
230,Bredasdorp,62.91,-34.5322,20.0403,Bredasdorp Country Manor
231,Nelson Bay,68.05,-32.7167,152.15,Mantra Nelson Bay
233,Mbekenyera,68.88,-10.0,38.9833,
234,Lake City,55.44,30.1897,-82.6393,Ramada Limited Lake City
235,Miraflores,65.05,19.2167,-98.8083,Hotel Mansión
236,Diffa,71.24,13.3154,12.6113,ProDAF/Diffa
240,Maneadero,62.6,31.7167,-116.5667,Casa De Thompson
242,Aripuana,75.2,-9.1667,-60.6333,
244,Grootfontein,67.93,-19.5667,18.1167,Meteor Travel Inn
245,Charagua,64.17,-19.8,-63.2167,Hotel
247,Camacha,61.56,33.0833,-16.3333,Hotel Porto Santo & Spa
248,Mount Gambier,77.79,-37.8333,140.7667,The Commodore
249,Puerto Del Rosario,64.15,28.5004,-13.8627,Hotel JM Puerto del Rosario
250,Taltal,62.06,-25.4,-70.4833,Residencial Karime
251,Leeton,71.55,-34.5667,146.4,Historic Hydro Motor Inn
252,Balikpapan,76.19,-1.2675,116.8289,ibis Balikpapan
253,Saint George,68.47,37.1041,-113.5841,Best Western Plus Abbey Inn
254,Namibe,70.12,-15.1961,12.1522,Hotel Chik Chik Namibe
255,Laguna,66.7,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
256,New Norfolk,63.9,-42.7826,147.0587,The Shingles Riverside Cottages
257,Yanam,77.4,16.7333,82.2167,The Regency Hotel
258,Vadamadurai,72.27,10.4667,78.0833,
260,Birao,71.13,10.2849,22.7882,
261,Lazaro Cardenas,78.17,17.9583,-102.2,quinta antigua
262,Codrington,74.48,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
264,Fortuna,54.52,40.5982,-124.1573,Super 8 by Wyndham Fortuna
265,Ahipara,71.35,-35.1667,173.1667,Ahipara Holiday Park
267,Cantanhede,76.19,-3.6333,-44.3767,HOTEL FE EM DEUS
268,Susacon,54.23,6.2298,-72.6901,Hostal Finca La Violeta
269,Bartow,62.69,27.8964,-81.8431,"Holiday Inn Express & Suites Bartow, an IHG Hotel"
270,Aguimes,63.23,27.9054,-15.4461,Hotel Villa de Aguimes
271,Bowen,75.42,-20.0167,148.2333,Castle Motor Lodge Motel
272,Tabuk,79.45,17.4189,121.4443,Golden Berries Hotel and Convention
273,Parana,64.58,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
274,Saldanha,61.81,-33.0117,17.9442,Blue Bay Lodge
276,Darnah,73.58,32.767,22.6367,فندق الفردوس
277,Cururupu,76.69,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
278,Biak,77.27,-0.9131,122.8766,Penginapan Kim
279,Rawson,69.87,-43.3002,-65.1023,Hosteria Sampedro
282,Saint-Pierre,73.08,-21.3393,55.4781,Lindsey Hôtel
284,Veraval,74.98,20.9,70.3667,Lords Inn Somnath
285,Ayacucho,60.71,-13.1583,-74.2239,Hotel Incasol
286,Portland,56.43,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
291,Bakel,78.91,14.905,-12.4568,Ablaye Diallo Bakel
294,Constitucion,54.45,-35.3333,-72.4167,Hotel Boutique Las Azucenas
295,Nushki,53.71,29.5542,66.0215,Shams hotel
296,Marang,77.04,5.2056,103.2059,DBarakah Homestay
297,Agadez,68.49,19.75,10.25,
298,Luwuk,78.98,-0.9516,122.7875,Hotel Santika Luwuk
300,Marawi,78.03,7.9986,124.2928,Derogongan Residence
301,North Bend,52.21,43.4065,-124.2243,Red Lion Hotel Coos Bay
305,Shiyan,51.37,32.6475,110.7781,Fenghuang Garden Holiday Hotel
306,Bonthe,79.36,7.5264,-12.505,Bonthe Holiday Village
307,Nobeoka,56.73,32.5833,131.6667,En City Hotel Nobeoka
309,Ancud,53.71,-41.8697,-73.8203,Hotel Arena Gruesa
311,Belmonte,77.5,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
314,Jalu,73.85,29.0331,21.5482,صاحبة الفخامة
315,Patrocinio,68.56,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
316,Eldoret,56.91,0.5204,35.2699,Flora Homes
317,Trelew,72.18,-43.249,-65.3051,Hotel Touring Club
318,Dodge City,53.11,37.7528,-100.0171,Windsor Inn & Suites
320,Jequie,71.47,-13.8575,-40.0836,Itajuba Hotel
321,Bac Lieu,76.35,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
322,Bardiyah,73.51,31.7561,25.0865,بورتو بردية
323,Garowe,70.16,8.4054,48.4845,Curubo Hotel
327,Odienne,74.77,9.51,-7.5692,Oustaz Vame DIAKITE
328,Meulaboh,75.74,4.1363,96.1285,Kost Pria
329,Hokitika,67.26,-42.7167,170.9667,Beachfront Hotel Hokitika
330,Tuatapere,65.57,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
331,Santa Cruz,72.86,-17.8,-63.1667,Aviador Hotel Boutique
332,Wichita Falls,53.74,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
335,Tabou,78.84,4.423,-7.3528,hotêl doufoulougou
336,Aconibe,67.21,1.2968,10.9369,
338,Toowoomba,70.83,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
339,Ambilobe,73.51,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
340,Sattahip,77.09,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
342,Mersin,56.55,36.862,34.6509,Nostalgia Boutique Hotel
345,Narayangarh,55.76,30.4833,77.1333,Hotel Paris
